"id ","beacon 1","beacon 2","beacon 3","beacon 4","beacon 5","beacon 6","beacon 7","beacon 8","beacon 9","beacon 10","beacon 11","beacon 12","beacon 13","beacon 14","beacon 15","beacon 16","beacon 17","beacon 18","beacon 19","beacon 20","beacon 21","beacon 22","beacon 23","beacon 24","beacon 25","beacon 26","beacon 27","beacon 28","beacon 29","beacon 30","beacon 31","beacon 32","beacon 33","beacon 34"
"1","-89","-78","-62","-1000","-1000","-85","-1000","-87","-85","-64","-75","-82","-95","-92","-89","-86","-78","-75","-81","-93","-97","-96","-1000","-1000","-1000","-1000","-98","-1000","-1000","-1000","-1000","-1000","-1000","-85"
"1","-86","-85","-54","-1000","-1000","-91","-1000","-91","-87","-58","-82","-83","-91","-91","-88","-87","-85","-80","-90","-95","-98","-96","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-75"
"1","-86","-84","-54","-1000","-1000","-77","-1000","-91","-89","-66","-79","-92","-93","-93","-88","-87","-88","-82","-93","-94","-96","-96","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-72"
"1","-91","-84","-62","-1000","-1000","-76","-1000","-94","-90","-66","-75","-92","-93","-90","-88","-86","-88","-90","-89","-92","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-72"
"1","-82","-84","-66","-1000","-1000","-77","-1000","-85","-90","-66","-75","-92","-93","-89","-87","-91","-88","-90","-89","-92","-94","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-72"
"1","-82","-84","-52","-1000","-1000","-76","-1000","-91","-90","-56","-75","-85","-96","-1000","-87","-91","-78","-78","-89","-92","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-72"
"1","-82","-81","-52","-1000","-1000","-76","-1000","-91","-90","-64","-84","-85","-95","-1000","-89","-91","-78","-76","-89","-92","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-78"
"1","-87","-84","-61","-1000","-1000","-81","-1000","-91","-1000","-64","-84","-85","-1000","-1000","-89","-91","-78","-76","-89","-92","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-72"
"1","-91","-84","-60","-1000","-1000","-81","-1000","-95","-1000","-64","-84","-85","-1000","-1000","-89","-89","-78","-76","-87","-92","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-85"
"1","-91","-84","-52","-1000","-1000","-74","-1000","-95","-1000","-64","-84","-87","-1000","-1000","-89","-84","-79","-83","-91","-92","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-85"
"1","-91","-81","-52","-1000","-1000","-74","-1000","-95","-1000","-64","-76","-87","-1000","-1000","-89","-84","-79","-83","-90","-89","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-85"
"1","-87","-81","-52","-1000","-1000","-74","-1000","-89","-1000","-59","-74","-85","-1000","-1000","-83","-84","-79","-83","-90","-89","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-68"
"1","-95","-81","-60","-1000","-1000","-80","-1000","-89","-1000","-68","-74","-85","-1000","-1000","-83","-79","-84","-74","-90","-93","-95","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-68"
"1","-1000","-84","-60","-1000","-1000","-87","-1000","-91","-1000","-68","-74","-85","-1000","-1000","-81","-82","-84","-74","-90","-93","-94","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-68"
"1","-1000","-86","-60","-1000","-1000","-87","-1000","-1000","-1000","-68","-74","-85","-1000","-1000","-92","-82","-84","-74","-90","-93","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-68"
"1","-1000","-80","-60","-1000","-1000","-87","-1000","-1000","-1000","-68","-72","-85","-1000","-1000","-87","-82","-84","-74","-90","-93","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-67"
"1","-1000","-80","-56","-1000","-1000","-1000","-1000","-1000","-1000","-68","-72","-85","-1000","-1000","-87","-82","-84","-85","-82","-93","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-67"
"1","-1000","-80","-56","-1000","-1000","-1000","-1000","-1000","-1000","-69","-72","-85","-1000","-1000","-87","-82","-88","-85","-82","-93","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-67"
"1","-1000","-1000","-56","-1000","-1000","-1000","-1000","-1000","-1000","-65","-76","-1000","-1000","-1000","-87","-82","-88","-85","-82","-93","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-84"
"1","-1000","-1000","-56","-1000","-1000","-1000","-1000","-1000","-1000","-65","-79","-1000","-1000","-1000","-87","-87","-88","-85","-83","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-75"
"1","-1000","-1000","-56","-1000","-1000","-1000","-1000","-1000","-1000","-65","-79","-1000","-1000","-1000","-87","-91","-94","-85","-86","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-75"
"1","-1000","-1000","-56","-1000","-1000","-1000","-1000","-1000","-1000","-65","-79","-1000","-1000","-1000","-1000","-79","-85","-85","-86","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-75"
"1","-1000","-1000","-56","-1000","-1000","-1000","-1000","-1000","-1000","-61","-79","-1000","-1000","-1000","-1000","-79","-89","-85","-86","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-75"
"1","-1000","-1000","-56","-1000","-1000","-1000","-1000","-1000","-1000","-64","-1000","-1000","-1000","-1000","-1000","-1000","-89","-77","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-75"
"1","-1000","-1000","-53","-1000","-1000","-1000","-1000","-1000","-1000","-64","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-77","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-75"
"1","-1000","-1000","-53","-1000","-1000","-1000","-1000","-1000","-1000","-64","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-77","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"1","-1000","-1000","-53","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-78","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"1","-1000","-1000","-53","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-81","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"1","-1000","-1000","-63","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-84","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
